Indegree,Outdegree,NumSCC,betweenness,closeness
90,29,0,23444.9487048485,0.4566756163046131
3,3,0,136.874060052632,0.34399705828277255
3,5,0,7274.493328508775,0.35925499231950847
0,9,621,0.0,0.36671893375147
8,7,0,1255.991034975313,0.35925499231950847
2,2,0,0.0,0.3468025949953661
1,7,0,7.9496069221032055,0.3819146764645846
4,31,0,3114.2311584421163,0.4250340754202635
7,7,0,4132.065491607056,0.3682345994882897
2,4,0,260.78606660958974,0.31110741602926506
2,20,0,210.29041411326563,0.3780561729642352
0,1,629,0.0,0.24788023317435082
0,2,630,0.0,0.34900205185599703
1,1,631,0.0,0.2851264858274916
7,15,0,3440.2945397738636,0.39723991507431
0,3,633,0.0,0.314242526032919
0,3,634,0.0,0.3602233346168656
52,28,0,21578.526449880585,0.4240707162284678
